Id	IsShowTags[1]	IsShowTags[2]
10253011	1	
10253021	1	
10253031	1	
10254011	1	
10254021	1	
10254041	1	
10255011		
10255012		
10255013		
10255021		
10255022		
10255023		
10255031		
10255032		
10255033		
10255041		
10255042		
10255043		
10255051		
10255052		
10255053		
10255061		
10255062		
10255063		
10255071		
10255072		
10255073		
10255081		
10255082		
10255083		
10255091		
10255092		
10255093		
10255101		
10255102		
10255103		
10255111		
10255112		
10255113		
10255121		
10255131		
10255141		
10255151		
10261011		
10261012		
10261013		
10261021		
10261022		
10261023		
10261031		
10261032		
10261033		
10261041		
10261042		
10261043		
10261051		
10261052		
10261053		
10261061		
10261062		
10261063		
10261071		
10261072		
10261073		
10261081		
10261082		
10261083		
10261091		
10261092		
10261093		
10261101		
10261102		
10261103		
10261111		
10261112		
10261113		
10261121		
10261122		
10261123		
10262011		
10262012		
10262013		
10262021		
10262022		
10262023		
10262031		
10262032		
10262033		
10262041		
10262042		
10262043		
10262051		
10262052		
10262053		
10262061		
10262062		
10262063		
10262071		
10262072		
10262073		
10262081		
10262082		
10262083		
10262091		
10262092		
10262093		
10262101		
10262102		
10262103		
10262111		
10262112		
10262113		
10262121		
10262122		
10262123		
10262131		
10262132		
10262133		
10263011	1	
10263021	1	
10263031	1	
10264011	1	
10264021	1	
10264041	1	
10265011		
10265012		
10265013		
10265021		
10265022		
10265023		
10265031		
10265032		
10265033		
10265041		
10265042		
10265043		
10265051		
10265052		
10265053		
10265061		
10265062		
10265063		
10265071		
10265072		
10265073		
10265081		
10265082		
10265083		
10265091		
10265092		
10265093		
10265101		
10265102		
10265103		
10265111		
10265112		
10265113		
10265121		
10265131		
10265141		
10265151		
10271011		
10271012		
10271013		
10271021		
10271022		
10271023		
10271031		
10271032		
10271033		
10271041		
10271042		
10271043		
10271051		
10271052		
10271053		
10271061		
10271062		
10271063		
10271071		
10271072		
10271073		
10271081		
10271082		
10271083		
10271091		
10271092		
10271093		
10271101		
10271102		
10271103		
10271111		
10271112		
10271113		
10271121		
10271122		
10271123		
10272011		
10272012		
10272013		
10272021		
10272022		
10272023		
10272031		
10272032		
10272033		
10272041		
10272042		
10272043		
10272051		
10272052		
10272053		
10272061		
10272062		
10272063		
10272071		
10272072		
10272073		
10272081		
10272082		
10272083		
10272091		
10272092		
10272093		
10272101		
10272102		
10272103		
10272111		
10272112		
10272113		
10272121		
10272122		
10272123		
10272131		
10273011	1	
10273021	1	
10273031	1	1
10274011	1	
10274021	1	
10274041	1	1
10275011		
10275012		
10275013		
10275021		
10275022		
10275023		
10275031		
10275032		
10275033		
10275041		
10275042		
10275043		
10275051		
10275052		
10275053		
10275061		
10275062		
10275063		
10275071		
10275072		
10275073		
10275081		
10275082		
10275083		
10275091		
10275092		
10275093		
10275101		
10275102		
10275103		
10275111		
10275112		
10275113		
10275121		
10275131		
10275141		
10275151		
82251011		
82251012		
82251013		
82251021		
82251022		
82251023		
82251031		
82251032		
82251033		
82251041		
82251042		
82251043		
82251051		
82251052		
82251053		
82253011		
82253012		
82253013		
82254011		
82254012		
82254013		
82261011		
82261012		
82261013		
82261021		
82261022		
82261023		
82261031		
82261032		
82261033		
82261041		
82261042		
82261043		
82261051		
82261052		
82261053		
82263011		
82263012		
82263013		
82264011		
82264012		
82264013		
82271011		
82271012		
82271013		
82271021		
82271022		
82271023		
82271031		
82271032		
82271033		
82271041		
82271042		
82271043		
82271051		
82271052		
82271053		
82271061		
82271062		
82271063		
82273011		
82273012		
82273013		
82274011		
82274012		
82274013		
10251011		
10251012		
10251013		
10251021		
10251022		
10251023		
10251031		
10251032		
10251033		
10251041		
10251042		
10251043		
10251051		
10251052		
10251053		
10251061		
10251062		
10251063		
10251071		
10251072		
10251073		
10251081		
10251082		
10251083		
10251091		
10251092		
10251093		
10251101		
10251102		
10251103		
10251111		
10251112		
10251113		
10251121		
10251122		
10251123		
10252011		
10252012		
10252013		
10252021		
10252022		
10252023		
10252031		
10252032		
10252033		
10252041		
10252042		
10252043		
10252051		
10252052		
10252053		
10252061		
10252062		
10252063		
10252071		
10252072		
10252073		
10252081		
10252082		
10252083		
10252091		
10252092		
10252093		
10252101		
10252102		
10252103		
10252111		
10252112		
10252113		
10252121		
10252122		
10252123		
10252131		
10252132		
10252133		
